graph_name,num_node,num_edge,num_gpu,embedding_size,time(ms)
wiki-talk-temporal,1140149,3309592,2,16,0.014420366287231444
wiki-talk-temporal,1140149,3309592,2,32,0.02179271380106608
wiki-talk-temporal,1140149,3309592,2,64,0.03739741643269857
wiki-talk-temporal,1140149,3309592,2,128,0.06616110801696777
wiki-talk-temporal,1140149,3309592,2,256,0.11923422813415528
soc-LiveJournal1,4847571,68993773,2,16,0.10900599161783855
soc-LiveJournal1,4847571,68993773,2,32,0.16628088951110842
soc-LiveJournal1,4847571,68993773,2,64,0.28367716471354165
soc-LiveJournal1,4847571,68993773,2,128,0.417643944422404
soc-LiveJournal1,4847571,68993773,2,256,0.7026528517405193
com-LiveJournal,3997962,69362378,2,16,0.09891713460286458
com-LiveJournal,3997962,69362378,2,32,0.14769630432128905
com-LiveJournal,3997962,69362378,2,64,0.24026702245076498
com-LiveJournal,3997962,69362378,2,128,0.35729468663533526
com-LiveJournal,3997962,69362378,2,256,0.6255289236704509
cit-Patents,3774768,16518948,2,16,0.07000253995259603
cit-Patents,3774768,16518948,2,32,0.10640888214111327
cit-Patents,3774768,16518948,2,64,0.16712958017985027
cit-Patents,3774768,16518948,2,128,0.30107304255167644
cit-Patents,3774768,16518948,2,256,0.5688316027323405
sx-stackoverflow,2601977,36233450,2,16,0.059728940327962235
sx-stackoverflow,2601977,36233450,2,32,0.08943258921305339
sx-stackoverflow,2601977,36233450,2,64,0.14044804573059083
sx-stackoverflow,2601977,36233450,2,128,0.21017220815022786
sx-stackoverflow,2601977,36233450,2,256,0.34975813229878744
wiki-Talk,2394385,5021410,2,16,0.024785327911376952
wiki-Talk,2394385,5021410,2,32,0.03932785987854004
wiki-Talk,2394385,5021410,2,64,0.07050677935282389
wiki-Talk,2394385,5021410,2,128,0.12815566062927244
wiki-Talk,2394385,5021410,2,256,0.21927577654520672
roadNet-CA,1971281,5533214,2,16,0.02589273452758789
roadNet-CA,1971281,5533214,2,32,0.03567635218302409
roadNet-CA,1971281,5533214,2,64,0.0610230286916097
roadNet-CA,1971281,5533214,2,128,0.10050058364868164
roadNet-CA,1971281,5533214,2,256,0.18086978594462078
wiki-topcats,1791489,28511807,2,16,0.04287573496500651
wiki-topcats,1791489,28511807,2,32,0.06876772244771322
wiki-topcats,1791489,28511807,2,64,0.10917970339457195
wiki-topcats,1791489,28511807,2,128,0.1851175785064697
wiki-topcats,1791489,28511807,2,256,0.2998130639394124
as-Skitter,1696415,22190596,2,16,0.04477074940999349
as-Skitter,1696415,22190596,2,32,0.06542320251464843
as-Skitter,1696415,22190596,2,64,0.09391854604085287
as-Skitter,1696415,22190596,2,128,0.1722149689992269
as-Skitter,1696415,22190596,2,256,0.2789243857065837
roadNet-TX,1393383,3843320,2,16,0.018918434778849285
roadNet-TX,1393383,3843320,2,32,0.028060420354207357
roadNet-TX,1393383,3843320,2,64,0.04586688677469889
roadNet-TX,1393383,3843320,2,128,0.08044692675272624
roadNet-TX,1393383,3843320,2,256,0.14864980379740397
wiki-talk-temporal,1140149,3309592,4,16,0.0167205015818278
wiki-talk-temporal,1140149,3309592,4,32,0.020575761795043945
wiki-talk-temporal,1140149,3309592,4,64,0.031740999221801756
wiki-talk-temporal,1140149,3309592,4,128,0.04802513122558594
wiki-talk-temporal,1140149,3309592,4,256,0.07765528361002605
soc-LiveJournal1,4847571,68993773,4,16,0.2757542292277018
soc-LiveJournal1,4847571,68993773,4,32,0.3289436499277751
soc-LiveJournal1,4847571,68993773,4,64,0.41365753809611006
soc-LiveJournal1,4847571,68993773,4,128,0.5321471055348714
soc-LiveJournal1,4847571,68993773,4,256,0.812624994913737
com-LiveJournal,3997962,69362378,4,16,0.2710209051767985
com-LiveJournal,3997962,69362378,4,32,0.3069461504618327
com-LiveJournal,3997962,69362378,4,64,0.39865345954895015
com-LiveJournal,3997962,69362378,4,128,0.5051884333292643
com-LiveJournal,3997962,69362378,4,256,0.7538896719614665
cit-Patents,3774768,16518948,4,16,0.06749736467997233
cit-Patents,3774768,16518948,4,32,0.09041651089986165
cit-Patents,3774768,16518948,4,64,0.13743446667989095
cit-Patents,3774768,16518948,4,128,0.23067027727762857
cit-Patents,3774768,16518948,4,256,0.42500441869099936
sx-stackoverflow,2601977,36233450,4,16,0.13166201909383138
sx-stackoverflow,2601977,36233450,4,32,0.144034210840861
sx-stackoverflow,2601977,36233450,4,64,0.19550927480061847
sx-stackoverflow,2601977,36233450,4,128,0.2627805233001709
sx-stackoverflow,2601977,36233450,4,256,0.3899470647176107
wiki-Talk,2394385,5021410,4,16,0.02261327107747396
wiki-Talk,2394385,5021410,4,32,0.03634093602498373
wiki-Talk,2394385,5021410,4,64,0.049710480372111
wiki-Talk,2394385,5021410,4,128,0.08458919525146485
wiki-Talk,2394385,5021410,4,256,0.14497488339742026
roadNet-CA,1971281,5533214,4,16,0.024243911107381184
roadNet-CA,1971281,5533214,4,32,0.03917949994405111
roadNet-CA,1971281,5533214,4,64,0.04849112828572591
roadNet-CA,1971281,5533214,4,128,0.07238341967264811
roadNet-CA,1971281,5533214,4,256,0.12216752370198568
wiki-topcats,1791489,28511807,4,16,0.07694493929545085
wiki-topcats,1791489,28511807,4,32,0.09428324699401855
wiki-topcats,1791489,28511807,4,64,0.12689719200134278
wiki-topcats,1791489,28511807,4,128,0.18085530598958333
wiki-topcats,1791489,28511807,4,256,0.28374300003051756
as-Skitter,1696415,22190596,4,16,0.08815860748291016
as-Skitter,1696415,22190596,4,32,0.11063987414042153
as-Skitter,1696415,22190596,4,64,0.14102112452189128
as-Skitter,1696415,22190596,4,128,0.19631632169087726
